
SIH26081 Project Cleanup Manifest
Execution Date: Friday 04 September 2026 04:13:21 PM IST
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/pip/_vendor/distlib/__pycache__ (182247 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/pip/_vendor/distro/__pycache__ (62554 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/pip/_vendor/idna/__pycache__ (172640 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/pip/_vendor/msgpack/__pycache__ (55032 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/pip/_vendor/packaging/licenses/__pycache__ (60645 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/pip/_vendor/packaging/__pycache__ (395825 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/pip/_vendor/pkg_resources/__pycache__ (189573 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/pip/_vendor/platformdirs/__pycache__ (175839 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/pip/_vendor/pygments/filters/__pycache__ (38483 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/pip/_vendor/pygments/formatters/__pycache__ (11343 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/pip/_vendor/pygments/lexers/__pycache__ (135718 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/pip/_vendor/pygments/styles/__pycache__ (6472 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/pip/_vendor/pygments/__pycache__ (144567 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/pip/_vendor/pyproject_hooks/_in_process/__pycache__ (17002 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/pip/_vendor/pyproject_hooks/__pycache__ (22461 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/pip/_vendor/requests/__pycache__ (281744 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/pip/_vendor/resolvelib/resolvers/__pycache__ (40745 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/pip/_vendor/resolvelib/__pycache__ (32144 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/pip/_vendor/rich/__pycache__ (1317822 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/pip/_vendor/tomli/__pycache__ (41967 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/pip/_vendor/tomli_w/__pycache__ (13464 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/pip/_vendor/truststore/__pycache__ (68878 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/pip/_vendor/urllib3/contrib/emscripten/__pycache__ (64804 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/pip/_vendor/urllib3/contrib/__pycache__ (43347 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/pip/_vendor/urllib3/http2/__pycache__ (27096 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/pip/_vendor/urllib3/util/__pycache__ (122982 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/pip/_vendor/urllib3/__pycache__ (278576 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/pip/_vendor/__pycache__ (4635 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/pip/__pycache__ (4049 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/_distutils_hack/__pycache__ (11977 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/setuptools/_distutils/command/__pycache__ (224541 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/setuptools/_distutils/compat/__pycache__ (2522 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/setuptools/_distutils/compilers/C/__pycache__ (130167 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/setuptools/_distutils/compilers/platform/__pycache__ (6582 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/setuptools/_distutils/compilers/__pycache__ (9220 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/setuptools/_distutils/__pycache__ (271528 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/setuptools/_vendor/autocommand/__pycache__ (20463 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/setuptools/_vendor/backports/tarfile/compat/__pycache__ (1340 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/setuptools/_vendor/backports/tarfile/__pycache__ (125374 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/setuptools/_vendor/backports/__pycache__ (321 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/setuptools/_vendor/importlib_metadata/compat/__pycache__ (3508 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/setuptools/_vendor/importlib_metadata/__pycache__ (97291 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/setuptools/_vendor/jaraco/context/__pycache__ (15499 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/setuptools/_vendor/jaraco/functools/__pycache__ (24944 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/setuptools/_vendor/jaraco/text/__pycache__ (30351 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/setuptools/_vendor/more_itertools/__pycache__ (240972 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/setuptools/_vendor/packaging/licenses/__pycache__ (59228 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/setuptools/_vendor/packaging/__pycache__ (269298 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/setuptools/_vendor/platformdirs/__pycache__ (105313 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/setuptools/_vendor/tomli/__pycache__ (41733 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/setuptools/_vendor/wheel/_commands/__pycache__ (40303 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/setuptools/_vendor/wheel/__pycache__ (76866 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/setuptools/_vendor/zipp/compat/__pycache__ (3911 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/setuptools/_vendor/zipp/__pycache__ (27610 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/setuptools/command/__pycache__ (293894 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/setuptools/compat/__pycache__ (3695 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/setuptools/config/_validate_pyproject/__pycache__ (367698 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/setuptools/config/__pycache__ (126786 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/setuptools/__pycache__ (362843 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/packaging/licenses/__pycache__ (60999 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/packaging/__pycache__ (512073 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/wheel/_commands/__pycache__ (51700 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/wheel/__pycache__ (77177 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/torchaudio/_extension/__pycache__ (8281 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/torchaudio/_internal/__pycache__ (4841 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/torchaudio/compliance/__pycache__ (40475 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/torchaudio/datasets/__pycache__ (209849 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/torchaudio/functional/__pycache__ (213340 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/torchaudio/lib/__pycache__ (185 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/torchaudio/models/decoder/__pycache__ (35496 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/torchaudio/models/squim/__pycache__ (33087 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/torchaudio/models/wav2vec2/utils/__pycache__ (21401 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/torchaudio/models/wav2vec2/__pycache__ (132600 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/torchaudio/models/__pycache__ (283061 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/torchaudio/pipelines/_tts/__pycache__ (39763 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/torchaudio/pipelines/_wav2vec2/__pycache__ (66227 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/torchaudio/pipelines/__pycache__ (38967 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/torchaudio/transforms/__pycache__ (140780 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/torchaudio/utils/__pycache__ (4682 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/torchaudio/__pycache__ (22732 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/mpmath/calculus/__pycache__ (270790 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/mpmath/functions/__pycache__ (548250 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/mpmath/libmp/__pycache__ (338194 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/mpmath/matrices/__pycache__ (197012 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/mpmath/tests/__pycache__ (823792 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/mpmath/__pycache__ (595670 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/__pycache__ (293455 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/triton/backends/amd/__pycache__ (64872 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/triton/backends/nvidia/__pycache__ (65806 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/triton/backends/__pycache__ (21171 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/triton/compiler/__pycache__ (153645 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/triton/experimental/gluon/amd/__pycache__ (5269 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/triton/experimental/gluon/language/amd/cdna3/__pycache__ (14340 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/triton/experimental/gluon/language/amd/cdna4/__pycache__ (19157 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/triton/experimental/gluon/language/amd/cdna5/__pycache__ (308 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/triton/experimental/gluon/language/amd/gfx1250/__pycache__ (56829 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/triton/experimental/gluon/language/amd/rdna3/__pycache__ (730 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/triton/experimental/gluon/language/amd/rdna4/__pycache__ (730 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/triton/experimental/gluon/language/amd/__pycache__ (34476 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/triton/experimental/gluon/language/extra/__pycache__ (296 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/triton/experimental/gluon/language/nvidia/ampere/__pycache__ (13191 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/triton/experimental/gluon/language/nvidia/blackwell/__pycache__ (59568 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/triton/experimental/gluon/language/nvidia/hopper/__pycache__ (45785 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/triton/experimental/gluon/language/nvidia/rubin/__pycache__ (7965 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/triton/experimental/gluon/language/nvidia/__pycache__ (347 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/triton/experimental/gluon/language/__pycache__ (166467 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/triton/experimental/gluon/nvidia/__pycache__ (13923 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/triton/experimental/gluon/__pycache__ (7108 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/triton/experimental/gsan/__pycache__ (71108 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/triton/experimental/__pycache__ (190 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/triton/language/extra/cuda/__pycache__ (99963 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/triton/language/extra/hip/__pycache__ (33850 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/triton/language/extra/__pycache__ (21646 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/triton/language/__pycache__ (432789 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/triton/profiler/hooks/__pycache__ (43748 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/triton/profiler/__pycache__ (90862 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/triton/runtime/__pycache__ (266919 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/triton/tools/triton_to_gluon_translator/__pycache__ (184611 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/triton/tools/__pycache__ (95681 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/triton/__pycache__ (118366 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/sympy/algebras/tests/__pycache__ (39327 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/sympy/algebras/__pycache__ (60000 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/sympy/assumptions/handlers/__pycache__ (137555 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/sympy/assumptions/predicates/__pycache__ (42698 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/sympy/assumptions/relation/__pycache__ (18924 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/sympy/assumptions/tests/__pycache__ (465938 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/sympy/assumptions/__pycache__ (203485 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/sympy/benchmarks/__pycache__ (26403 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/sympy/calculus/tests/__pycache__ (128104 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/sympy/calculus/__pycache__ (109231 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/sympy/categories/tests/__pycache__ (46197 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/sympy/categories/__pycache__ (118623 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/sympy/codegen/tests/__pycache__ (149692 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/sympy/codegen/__pycache__ (186269 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/sympy/combinatorics/tests/__pycache__ (305851 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/sympy/combinatorics/__pycache__ (778660 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/sympy/concrete/tests/__pycache__ (330163 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/sympy/concrete/__pycache__ (177144 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/sympy/core/benchmarks/__pycache__ (9443 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/sympy/core/tests/__pycache__ (1897623 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/sympy/core/__pycache__ (1341213 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/sympy/crypto/tests/__pycache__ (32044 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/sympy/crypto/__pycache__ (105039 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/sympy/diffgeom/tests/__pycache__ (57575 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/sympy/diffgeom/__pycache__ (102727 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/sympy/discrete/tests/__pycache__ (57039 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/sympy/discrete/__pycache__ (41751 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/sympy/external/tests/__pycache__ (85662 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/sympy/external/__pycache__ (52455 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/sympy/functions/combinatorial/tests/__pycache__ (169584 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/sympy/functions/combinatorial/__pycache__ (185202 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/sympy/functions/elementary/benchmarks/__pycache__ (874 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/sympy/functions/elementary/tests/__pycache__ (893032 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/sympy/functions/elementary/__pycache__ (596829 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/sympy/functions/special/benchmarks/__pycache__ (766 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/sympy/functions/special/tests/__pycache__ (528418 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/sympy/functions/special/__pycache__ (584738 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/sympy/functions/__pycache__ (8774 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/sympy/geometry/tests/__pycache__ (307756 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/sympy/geometry/__pycache__ (408626 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/sympy/holonomic/tests/__pycache__ (93856 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/sympy/holonomic/__pycache__ (153171 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/sympy/integrals/benchmarks/__pycache__ (2335 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/sympy/integrals/tests/__pycache__ (973473 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/sympy/integrals/__pycache__ (885858 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/sympy/interactive/tests/__pycache__ (15079 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/sympy/interactive/__pycache__ (42121 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/sympy/liealgebras/tests/__pycache__ (22002 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/sympy/liealgebras/__pycache__ (76773 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/sympy/logic/algorithms/__pycache__ (91240 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/sympy/logic/tests/__pycache__ (188343 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/sympy/logic/utilities/__pycache__ (2603 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/sympy/logic/__pycache__ (154124 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/sympy/matrices/benchmarks/__pycache__ (1240 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/sympy/matrices/expressions/tests/__pycache__ (337342 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/sympy/matrices/expressions/__pycache__ (285289 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/sympy/matrices/tests/__pycache__ (907765 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/sympy/matrices/__pycache__ (710098 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/sympy/multipledispatch/tests/__pycache__ (32235 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/sympy/multipledispatch/__pycache__ (32620 bytes) - Python cache directory
DELETED: /home/agasthya/ai models/.venv/lib/python3.14/site-packages/sympy/ntheory/tests/__pycache__ (161342 bytes) - Python cache directory
